"Student_Name";"Test_Case_1 (40)";"Code_1 (20)";"Code_2 (20)";"Code_3 (10)";"Code_4 (10)";"Total_Marks (100)";"Comments"
22BT10027;20;20;20;10;10;80;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
22BT30010;0;0;0;10;0;10;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 0 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22BT30030;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE10013;40;20;20;10;0;90;========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22CE10033;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE10073;0;0;0;0;0;0;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE30004;20;20;20;10;0;70;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 70 ############
22CE30024;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CH10012;20;20;20;10;0;70;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 70 ############
22CH10032;40;20;20;10;10;100;Good~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CH10052;20;20;20;10;0;70;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 70 ############
22CH10072;15;20;20;10;0;65;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 15 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 65 ############
22CH30013;40;20;20;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CH30033;25;20;20;10;0;75;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 25 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 75 ############
22CS10017;0;20;0;5;0;25;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 25 ############
22CS10037;40;20;20;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10057;40;20;20;10;10;100;Clean Code~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10077;40;20;20;10;10;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS30016;40;20;20;10;10;100;Great Job~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS30036;25;20;20;10;0;75;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 25 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 75 ############
22CS30056;25;20;20;10;10;85;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 25 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22CY10036;25;20;20;10;0;75;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 25 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 75 ############
22EC10007;40;20;20;10;0;90;========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22EC10027;40;20;20;10;0;90;========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22EC10067;25;20;20;10;0;75;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 25 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 75 ############
22EC10087;25;20;20;10;10;85;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 25 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22EC30015;40;20;20;10;10;100;Nice work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EC30035;40;20;20;10;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EC30055;40;20;20;10;0;90;========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22EE10016;40;20;20;10;0;90;========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22EE10036;25;20;20;10;10;85;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 25 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22EE10056;35;20;20;10;10;95;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 35 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 95 ############
22EE10076;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE30015;40;20;20;10;10;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
