"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (-10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (20)";"Code_6 (10)";"Total_Marks (100)";"Comments"
22BT30010;0;0;0;0;0;0;0;5;5;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 6:~~Printed output~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 5 ############
22BT30030;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE10013;0;0;0;0;5;0;0;0;5;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 6:~~Printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 5 ############
22CE10033;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE10073;5;5;0;10;5;0;10;5;40;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the number of students: 2~~~~Enter the marks for student 1:~~  Attendence [40]: 20~~  CT [20]: 10~~  Midsem [60]: 30~~  Endsem [100]: 50~~~~Enter the marks for student 2:~~  Attendence [40]: 40~~  CT [20]: 20~~  Midsem [60]: 60~~  Endsem [100]: 100~~~~~~Exp OUT:~~~~Student 1~~  Total marks: 50.00~~  Grade: D~~~~Student 2~~  Total marks: 100.00~~  Grade: EX~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~Your output:~~Enter the number of students : Enter the marks for student -1393784320 Attendence [40]: ClassTest [20]: Midsem [60] : Endsem [100] : Student 113 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total mar...~~~~FAILED: Test Case 2: ~~IN:~~Enter the number of students: 1~~~~Enter the marks for student 1:~~  Attendence [40]: 10~~  CT [20]: 5 ~~  Midsem [60]: 10~~  Endsem [100]: 10~~~~Exp OUT:~~Student 1~~  Total marks: 16.50~~  Grade: F~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~Your output:~~Enter the number of students : Enter the marks for student -1393784320 Attendence [40]: ClassTest [20]: Midsem [60] : Endsem [100] : Student 38 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total marks :~~grade : ~~ Student -1393784272 ~~ Total mark...~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 6:~~Printed output~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22CE30004;0;0;0;0;0;0;0;0;0;<PLAG DETECTED - AWARDED 0>~~~~If you have not copied from anywhere,~~Please do not panic.~~Plag is decided by a plag checking program.~~For now continue to do your best.
22CE30024;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CH10012;0;0;0;0;0;0;0;0;0;<PLAG DETECTED - AWARDED 0>~~~~If you have not copied from anywhere,~~Please do not panic.~~Plag is decided by a plag checking program.~~For now continue to do your best.
22CH10032;20;20;0;10;10;10;20;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CH10052;0;0;0;10;10;8;10;5;43;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 6:~~Printed output~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 43 ############
22CH30013;10;10;0;10;8;5;10;10;63;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the number of students: 2~~~~Enter the marks for student 1:~~  Attendence [40]: 20~~  CT [20]: 10~~  Midsem [60]: 30~~  Endsem [100]: 50~~~~Enter the marks for student 2:~~  Attendence [40]: 40~~  CT [20]: 20~~  Midsem [60]: 60~~  Endsem [100]: 100~~~~~~Exp OUT:~~~~Student 1~~  Total marks: 50.00~~  Grade: D~~~~Student 2~~  Total marks: 100.00~~  Grade: EX~~~~ ~~  Mark/s obtained: 10 out of 20~~~~~~Your output:~~Enter the number of students: Enter the marks of student 1 : Attendance[40]: CT[20]: Mid-sem [60]: End-sem[100]: Enter the marks of student 2 : Attendance[40]: CT[20]: Mid-sem [60]: End-sem[100]: Student : 1~~Total marks : 66.000000~~grade C~~Student : 2~~Total marks : 66.000000~~grade C~~~~~~FAILED: Test Case 2: ~~IN:~~Enter the number of students: 1~~~~Enter the marks for student 1:~~  Attendence [40]: 10~~  CT [20]: 5 ~~  Midsem [60]: 10~~  Endsem [100]: 10~~~~Exp OUT:~~Student 1~~  Total marks: 16.50~~  Grade: F~~~~ ~~  Mark/s obtained: 10 out of 20~~~~~~Your output:~~Enter the number of students: Enter the marks of student 1 : Attendance[40]: CT[20]: Mid-sem [60]: End-sem[100]: Student : 1~~Total marks : 9.000000~~grade F~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 10 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 63 ############
22CH30033;0;20;0;10;10;5;20;10;75;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the number of students: 2~~~~Enter the marks for student 1:~~  Attendence [40]: 20~~  CT [20]: 10~~  Midsem [60]: 30~~  Endsem [100]: 50~~~~Enter the marks for student 2:~~  Attendence [40]: 40~~  CT [20]: 20~~  Midsem [60]: 60~~  Endsem [100]: 100~~~~~~Exp OUT:~~~~Student 1~~  Total marks: 50.00~~  Grade: D~~~~Student 2~~  Total marks: 100.00~~  Grade: EX~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 75 ############
22CS10017;5;5;0;0;5;10;10;10;45;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the number of students: 2~~~~Enter the marks for student 1:~~  Attendence [40]: 20~~  CT [20]: 10~~  Midsem [60]: 30~~  Endsem [100]: 50~~~~Enter the marks for student 2:~~  Attendence [40]: 40~~  CT [20]: 20~~  Midsem [60]: 60~~  Endsem [100]: 100~~~~~~Exp OUT:~~~~Student 1~~  Total marks: 50.00~~  Grade: D~~~~Student 2~~  Total marks: 100.00~~  Grade: EX~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~Your output:~~enter  attendence_marks, ct_marks, ms_marks, es_marks  : valid~~at=2.000000, ct=20.000000, ms=10.000000, es=30.000000~~0~~P~~~~FAILED: Test Case 2: ~~IN:~~Enter the number of students: 1~~~~Enter the marks for student 1:~~  Attendence [40]: 10~~  CT [20]: 5 ~~  Midsem [60]: 10~~  Endsem [100]: 10~~~~Exp OUT:~~Student 1~~  Total marks: 16.50~~  Grade: F~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~Your output:~~enter  attendence_marks, ct_marks, ms_marks, es_marks  : valid~~at=1.000000, ct=10.000000, ms=5.000000, es=10.000000~~0~~F~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 10 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 45 ############
22CS10037;15;15;0;10;10;8;20;10;88;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the number of students: 2~~~~Enter the marks for student 1:~~  Attendence [40]: 20~~  CT [20]: 10~~  Midsem [60]: 30~~  Endsem [100]: 50~~~~Enter the marks for student 2:~~  Attendence [40]: 40~~  CT [20]: 20~~  Midsem [60]: 60~~  Endsem [100]: 100~~~~~~Exp OUT:~~~~Student 1~~  Total marks: 50.00~~  Grade: D~~~~Student 2~~  Total marks: 100.00~~  Grade: EX~~~~ ~~  Mark/s obtained: 15 out of 20~~~~~~Your output:~~enter the number of studentsenter the marks of the student 1Attendence[40]:CT[20]:Midsem[60]:end sem[100]:the student 1 grade is D~~ the total marks are 52 enter the marks of the student 2Attendence[40]:CT[20]:Midsem[60]:end sem[100]:the student 2 grade is EX~~ the total marks are 104~~~~FAILED: Test Case 2: ~~IN:~~Enter the number of students: 1~~~~Enter the marks for student 1:~~  Attendence [40]: 10~~  CT [20]: 5 ~~  Midsem [60]: 10~~  Endsem [100]: 10~~~~Exp OUT:~~Student 1~~  Total marks: 16.50~~  Grade: F~~~~ ~~  Mark/s obtained: 15 out of 20~~~~~~Your output:~~enter the number of studentsenter the marks of the student 1Attendence[40]:CT[20]:Midsem[60]:end sem[100]:the student 1 grade is F~~ the total marks are 16~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 8 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 88 ############
22CS10057;15;15;0;10;5;10;20;5;80;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the number of students: 2~~~~Enter the marks for student 1:~~  Attendence [40]: 20~~  CT [20]: 10~~  Midsem [60]: 30~~  Endsem [100]: 50~~~~Enter the marks for student 2:~~  Attendence [40]: 40~~  CT [20]: 20~~  Midsem [60]: 60~~  Endsem [100]: 100~~~~~~Exp OUT:~~~~Student 1~~  Total marks: 50.00~~  Grade: D~~~~Student 2~~  Total marks: 100.00~~  Grade: EX~~~~ ~~  Mark/s obtained: 15 out of 20~~~~~~Your output:~~Enter the number of students~~ Enter marks in attendance out of 40: ~~ Enter marks in class test out of 20: ~~ Enter marks in mid sems out of 60: ~~ Enter marks in endsems out of 100: D~~ Enter marks in attendance out of 40: ~~ Enter marks in class test out of 20: ~~ Enter marks in mid sems out of 60: ~~ Enter marks in endsems out of 100: EX~~~~FAILED: Test Case 2: ~~IN:~~Enter the number of students: 1~~~~Enter the marks for student 1:~~  Attendence [40]: 10~~  CT [20]: 5 ~~  Midsem [60]: 10~~  Endsem [100]: 10~~~~Exp OUT:~~Student 1~~  Total marks: 16.50~~  Grade: F~~~~ ~~  Mark/s obtained: 15 out of 20~~~~~~Your output:~~Enter the number of students~~ Enter marks in attendance out of 40: ~~ Enter marks in class test out of 20: ~~ Enter marks in mid sems out of 60: ~~ Enter marks in endsems out of 100: F~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 6:~~Printed output~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
22CS30016;20;20;0;10;10;10;20;10;100;Nice work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS30036;20;20;0;10;10;10;20;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS30056;20;20;0;10;8;10;20;10;98;========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 8 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 98 ############
22CY10036;20;20;0;10;8;10;20;10;98;========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 8 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 98 ############
22AG10029;20;15;0;10;10;5;20;10;90;========= TEST CASES =========~~~~~~FAILED: Test Case 2: ~~IN:~~Enter the number of students: 1~~~~Enter the marks for student 1:~~  Attendence [40]: 10~~  CT [20]: 5 ~~  Midsem [60]: 10~~  Endsem [100]: 10~~~~Exp OUT:~~Student 1~~  Total marks: 16.50~~  Grade: F~~~~ ~~  Mark/s obtained: 15 out of 20~~~~~~Your output:~~enter the no of students ~~enter the marks for student 1 ~~Attendance [40] = ~~CT [20] = ~~mid sem [60] = ~~end sem [100] = ~~total marks = 15.909091 ~~grade = F~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
