"Student_Name";"Test_Case_1 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Code_7 (10)";"Code_8 (20)";"Code_9 (10)";"Total_Marks (110)";"Comments"
22BT10027;0;10;0;10;2;0;0;2;20;10;54;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:%d~~100~~This is a Test Case~~wahahahahahah 1234 #$%^~~~~Desired Output:~~### Part (a) START ###~~Input is a integer: 100~~### Part (a) END ###~~~~### Part (b) START ###~~4 This is a~~### Part (b) END ###~~~~### Part (c) START ###~~Number of digits: 4~~Number of special characters: 5~~Number of words: 8~~Number of vowels: 11~~Number of consonants: 19~~Number of sentences: 1~~### Part (c) END ###~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the stringNumber of digits = 0~~Number of special characters = 0~~Number of words = 1~~Number of vowels = 0~~Number of consonants= 3~~Number of sentences = 0~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 2 out of 10~~~~~~PASSED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 54/110 ##########
22BT30010;0;10;0;10;0;0;0;3;9;5;37;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 3 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 9 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 37/110 ##########
22BT30030;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22CE10013;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22CE10033;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22CE10073;10;10;10;10;10;0;0;0;0;0;50;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 10 out of 10~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 50/110 ##########
22CE30004;10;10;0;10;10;10;10;0;0;0;60;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 10 out of 10~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 60/110 ##########
22CE30024;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22CH10012;0;10;0;10;10;0;0;0;0;0;30;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 30/110 ##########
22CH10032;0;0;0;0;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~taken inputs~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22CH10052;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22CH10072;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22CH30013;10;10;10;10;10;0;0;0;0;0;50;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 10 out of 10~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 50/110 ##########
22CH30033;4;4;10;10;2;0;0;0;0;0;30;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:%d~~100~~This is a Test Case~~wahahahahahah 1234 #$%^~~~~Desired Output:~~### Part (a) START ###~~Input is a integer: 100~~### Part (a) END ###~~~~### Part (b) START ###~~4 This is a~~### Part (b) END ###~~~~### Part (c) START ###~~Number of digits: 4~~Number of special characters: 5~~Number of words: 8~~Number of vowels: 11~~Number of consonants: 19~~Number of sentences: 1~~### Part (c) END ###~~ ~~  Mark/s obtained: 4 out of 10~~~~~~Your output:~~Enter your integer input :~~Enter your long integer input :~~Enter your long long integer input :~~Enter your floating input :~~Enter your character input :~~Enter your string input :~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~taken inputs~~  Mark/s obtained: 4 out of 10~~~~~~PASSED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 30/110 ##########
22CS10017;10;10;0;10;10;0;0;0;0;0;40;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 10 out of 10~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 40/110 ##########
22CS10037;0;0;0;3;3;0;0;4;8;8;26;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:%d~~100~~This is a Test Case~~wahahahahahah 1234 #$%^~~~~Desired Output:~~### Part (a) START ###~~Input is a integer: 100~~### Part (a) END ###~~~~### Part (b) START ###~~4 This is a~~### Part (b) END ###~~~~### Part (c) START ###~~Number of digits: 4~~Number of special characters: 5~~Number of words: 8~~Number of vowels: 11~~Number of consonants: 19~~Number of sentences: 1~~### Part (c) END ###~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~%d~~~~~~no of numeric charcters:7148452no of vowels:16no of special charcters:20the no of words:1~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~taken inputs~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 3 out of 10~~~~~~FAILED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 3 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 4 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 8 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 8 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 26/110 ##########
22CS10057;0;10;10;10;10;8;8;5;9;10;80;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 9 out of 20~~~~~~PASSED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 80/110 ##########
22CS10077;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22CS30016;0;3;0;2;4;10;9;10;0;0;38;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:%d~~100~~This is a Test Case~~wahahahahahah 1234 #$%^~~~~Desired Output:~~### Part (a) START ###~~Input is a integer: 100~~### Part (a) END ###~~~~### Part (b) START ###~~4 This is a~~### Part (b) END ###~~~~### Part (c) START ###~~Number of digits: 4~~Number of special characters: 5~~Number of words: 8~~Number of vowels: 11~~Number of consonants: 19~~Number of sentences: 1~~### Part (c) END ###~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~2 is a Test Case~~wahahahahahah 1234 #$%^~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~taken inputs~~  Mark/s obtained: 3 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 4 out of 10~~~~~~PASSED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 9 out of 10~~~~~~PASSED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 38/110 ##########
