"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Test_Case_5 (10)";"Code_1 (10)";"Code_2 (15)";"Code_3 (15)";"Code_4 (10)";"Code_5 (-5)";"Code_6 (-5)";"Total_Marks (100)";"Comments"
23EC10046;10;10;10;0;0;10;15;10;10;0;-2;73;========= TEST CASES =========~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter total number of kms travelled=enter hrs taxi was retained=taxi fare=298~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter total number of kms travelled=enter hrs taxi was retained=taxi fare=220~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 73/100 ##########
23EC10006;10;10;10;10;10;10;15;15;10;0;-5;95;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 95/100 ##########
23CH10026;10;10;10;10;10;10;15;15;10;0;-2;98;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 98/100 ##########
23MA10036;10;10;10;10;10;10;15;15;10;-2;-2;96;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 96/100 ##########
23CS10071;10;10;10;10;0;10;15;10;10;0;-2;83;========= TEST CASES =========~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~input the distance travelled in km and hours retainedtotal cost= 1120~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 83/100 ##########
23CS30049;10;10;10;10;0;10;12;12;10;0;0;84;========= TEST CASES =========~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter number of kilometeres travelled: Enter number of hours taxi was retained: Total Fare = 1120~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 84/100 ##########
23CS10011;10;10;10;10;0;10;15;12;10;0;-2;85;========= TEST CASES =========~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter number of kilometers travelled  and hours the taxi rented   ~~taxi fare = 520~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 12 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 85/100 ##########
23ME30020;10;10;10;10;10;10;15;15;10;0;0;100;Clean Code~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23GG10021;0;0;0;0;0;10;10;10;10;-2;0;38;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 38/100 ##########
23CE10045;10;0;0;0;0;10;10;10;10;0;-2;48;========= TEST CASES =========~~~~~~FAILED: Test Case 2: ~~INPUT:7 5~~Desired Output:~~~~Enter km and hrs: 7 5~~Fare: Rs. 220 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter total no of Kms travelled: Enter total no hours for which taxi was retained: Sum: 1020~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter total no of Kms travelled: Enter total no hours for which taxi was retained: Sum: 1068~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter total no of Kms travelled: Enter total no hours for which taxi was retained: Sum: 5198~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter total no of Kms travelled: Enter total no hours for which taxi was retained: Sum: 6320~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 48/100 ##########
23GG10041;10;10;10;10;10;10;15;15;10;0;-2;98;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 98/100 ##########
23MI31012;10;10;10;10;10;10;15;15;5;0;-5;90;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 90/100 ##########
23CH10046;0;0;0;0;0;10;10;10;10;0;-5;35;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 0~~Desired Output:~~~~Enter km and hrs: 5 0~~Fare: Rs. 20 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the no. of kilometres travelled and hours retained:FARE = 116~~~~~~FAILED: Test Case 2: ~~INPUT:7 5~~Desired Output:~~~~Enter km and hrs: 7 5~~Fare: Rs. 220 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the no. of kilometres travelled and hours retained:FARE = 316~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the no. of kilometres travelled and hours retained:FARE = 316~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the no. of kilometres travelled and hours retained:FARE = 616~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 35/100 ##########
23AE30013;10;10;0;0;10;10;10;15;10;0;-5;70;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the km and hrTaxi fare is 238 ~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the km and hrTaxi fare is 344 ~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 70/100 ##########
23MA10056;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23EE10036;10;10;10;10;0;10;15;10;10;0;0;85;========= TEST CASES =========~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled and the rental time:~~The travel charge = 520~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 85/100 ##########
