"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Test_Case_5 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (20)";"Code_4 (10)";"Code_5 (10)";"Total_Marks (110)";"Comments"
22CS10017;2;2;2;2;2;10;10;0;0;0;30;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the Integer:1234~~~~~~~~Exp OUT:~~Least significant digits to most significant digits: ~~1234, 234, 34, 4~~~~Reverse number = 4321~~Difference between Reverse and original number = 3087~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~Your output:~~give a nox=1234~~~~FAILED: Test Case 2: ~~IN:~~Enter the Integer:5677~~~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 5, 56, 567, 5677~~~~Reverse number = 7765~~Difference between Reverse and original number = 2088~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~Your output:~~give a nox=5677integer is an odd~~~~FAILED: Test Case 3: ~~IN:~~Enter the Integer:9~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 9~~Reverse number = 9~~Difference between Reverse and original number = 0~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~Your output:~~give a nox=9integer is an odd~~~~FAILED: Test Case 4: ~~IN:~~Enter the Integer:-38~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 38, 8~~Reverse number = -83~~Difference between Reverse and original number = 45~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~Your output:~~give a nox=-38~~~~FAILED: Test Case 5: ~~IN:~~Enter the Integer: 90040~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 90040, 40, 40, 40, 0~~~~Reverse number = 4009~~Difference between Reverse and original number = 86031~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~Your output:~~give a nox=90040~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22CS10037;10;10;10;10;10;10;10;20;10;10;110;Perfect~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 110 ###########
22CS10057;10;10;10;10;10;10;10;20;10;10;110;Perfect~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 110 ###########
22CS30016;10;10;10;10;10;10;10;20;10;10;110;Great Job~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 110 ###########
22CS30056;10;10;10;10;10;10;10;20;10;10;110;Keep it up~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 110 ###########
22EC10007;10;10;10;10;10;10;10;20;10;10;110;Good~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 110 ###########
22EC10087;10;10;10;10;10;10;10;20;10;10;110;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 110 ###########
22EC30035;10;10;10;10;10;10;10;20;10;10;110;Clean Code~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 110 ###########
22EE10036;0;0;0;0;0;10;10;5;5;0;30;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 5 out of 20~~~~~~FAILED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22EE10076;0;0;0;0;0;10;0;5;5;5;25;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 5 out of 20~~~~~~FAILED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 25 ############
22EX10002;9;9;9;9;9;10;10;20;10;10;105;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the Integer:1234~~~~~~~~Exp OUT:~~Least significant digits to most significant digits: ~~1234, 234, 34, 4~~~~Reverse number = 4321~~Difference between Reverse and original number = 3087~~~~ ~~  Mark/s obtained: 9 out of 10~~~~~~Your output:~~0 234 34 4 ~~Reverse Number=4321~~Difference between orignal and reverse number is:3087~~~~FAILED: Test Case 2: ~~IN:~~Enter the Integer:5677~~~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 5, 56, 567, 5677~~~~Reverse number = 7765~~Difference between Reverse and original number = 2088~~~~ ~~  Mark/s obtained: 9 out of 10~~~~~~Your output:~~0 56 567 5677 ~~Reverse Number=7765~~Difference between orignal and reverse number is:2088~~~~FAILED: Test Case 3: ~~IN:~~Enter the Integer:9~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 9~~Reverse number = 9~~Difference between Reverse and original number = 0~~~~ ~~  Mark/s obtained: 9 out of 10~~~~~~Your output:~~0 ~~Reverse Number=9~~Difference between orignal and reverse number is:0~~~~FAILED: Test Case 4: ~~IN:~~Enter the Integer:-38~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 38, 8~~Reverse number = -83~~Difference between Reverse and original number = 45~~~~ ~~  Mark/s obtained: 9 out of 10~~~~~~Your output:~~~~Reverse Number=-83~~Difference between orignal and reverse number is:45~~~~FAILED: Test Case 5: ~~IN:~~Enter the Integer: 90040~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 90040, 40, 40, 40, 0~~~~Reverse number = 4009~~Difference between Reverse and original number = 86031~~~~ ~~  Mark/s obtained: 9 out of 10~~~~~~Your output:~~0 40 40 40 0 ~~Reverse Number=4009~~Difference between orignal and reverse number is:86031~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 105 ###########
22HS10018;8;8;8;7;8;10;10;20;10;10;99;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the Integer:1234~~~~~~~~Exp OUT:~~Least significant digits to most significant digits: ~~1234, 234, 34, 4~~~~Reverse number = 4321~~Difference between Reverse and original number = 3087~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~Enter a number:~~1234,234,34,4~~~~Number obtained by reversing digits of n = 4321~~2~~~~FAILED: Test Case 2: ~~IN:~~Enter the Integer:5677~~~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 5, 56, 567, 5677~~~~Reverse number = 7765~~Difference between Reverse and original number = 2088~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~Enter a number:~~5,56,567,5677~~~~Number obtained by reversing digits of n = 7765~~11~~~~FAILED: Test Case 3: ~~IN:~~Enter the Integer:9~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 9~~Reverse number = 9~~Difference between Reverse and original number = 0~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~Enter a number:~~0,0,0,9~~~~Number obtained by reversing digits of n = 9000~~9~~~~FAILED: Test Case 4: ~~IN:~~Enter the Integer:-38~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 38, 8~~Reverse number = -83~~Difference between Reverse and original number = 45~~~~ ~~  Mark/s obtained: 7 out of 10~~~~~~Your output:~~Enter a number:~~-38,-38,-38,-8~~~~Number obtained by reversing digits of n = -8300~~5~~~~FAILED: Test Case 5: ~~IN:~~Enter the Integer: 90040~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 90040, 40, 40, 40, 0~~~~Reverse number = 4009~~Difference between Reverse and original number = 86031~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~Enter a number:~~90040,40,40,0~~~~Number obtained by reversing digits of n = 490~~94~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 99 ############
