"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Total_Marks (100)";"Comments"
22MI10032;1;0;5;10;5;0;10;10;41;Testcases didn't run~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~A = 1 2 3 4 5, B = 2 3 4 5~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is present in set A~~6 is NOT present in set B~~Union: 1 2 3 4 5~~Intersection: 2 3 4 5~~Difference: 1~~~~ ~~  Mark/s obtained: 1 out of 20~~~~~~FAILED: Test Case 2: ~~IN:~~A = 1 2 3, B = 4 5 6~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is NOT present in set A~~6 is present in set B~~Union: 1 2 3 4 5 6~~Intersection: Null~~Difference: 1 2 ~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 41 ############
22EE10008;0;0;10;10;5;5;5;0;35;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 35 ############
22CS30008;0;10;10;10;10;5;5;10;60;Testcases didn't run~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~A = 1 2 3 4 5, B = 2 3 4 5~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is present in set A~~6 is NOT present in set B~~Union: 1 2 3 4 5~~Intersection: 2 3 4 5~~Difference: 1~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Test Case 2: ~~IN:~~A = 1 2 3, B = 4 5 6~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is NOT present in set A~~6 is present in set B~~Union: 1 2 3 4 5 6~~Intersection: Null~~Difference: 1 2 ~~~~ ~~  Mark/s obtained: 10 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22IE10007;0;0;10;10;5;5;5;5;40;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22MA10021;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE30007;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG10041;0;0;10;0;5;5;0;3;23;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 3 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 23 ############
22ME30004;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MA10059;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE10065;0;0;0;0;10;5;0;0;15;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
22EX10034;0;0;0;0;5;5;5;5;20;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
22EC10059;0;0;10;10;5;5;5;5;40;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22HS10030;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CH30005;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MI31006;0;0;10;0;5;5;5;5;30;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22MI31025;0;0;10;0;5;5;5;3;28;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 3 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 28 ############
22EC10079;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE10028;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CE30016;0;0;0;5;0;5;0;5;15;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
22NA30030;0;0;0;5;0;5;0;5;15;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
22ME10064;0;0;10;0;5;5;5;5;30;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22IM10001;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CH30025;0;0;10;5;5;0;5;5;30;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22AG10001;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MI10051;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22GG10024;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22ME10007;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MT10061;0;0;10;0;5;5;5;5;30;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22NA10022;0;0;10;5;5;5;5;5;35;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 35 ############
22ME30042;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22NA30011;0;0;10;5;0;5;5;5;30;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22MF10045;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EC30047;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EC30007;3;0;0;0;5;0;0;10;18;Testcases didn't run~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~A = 1 2 3 4 5, B = 2 3 4 5~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is present in set A~~6 is NOT present in set B~~Union: 1 2 3 4 5~~Intersection: 2 3 4 5~~Difference: 1~~~~ ~~  Mark/s obtained: 3 out of 20~~~~~~FAILED: Test Case 2: ~~IN:~~A = 1 2 3, B = 4 5 6~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is NOT present in set A~~6 is present in set B~~Union: 1 2 3 4 5 6~~Intersection: Null~~Difference: 1 2 ~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 18 ############
