"Student_Name";"Test_Case_1 (5)";"Test_Case_2 (5)";"Test_Case_3 (5)";"Test_Case_4 (5)";"Test_Case_5 (5)";"Test_Case_6 (5)";"Test_Case_7 (5)";"Test_Case_8 (5)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Code_7 (-5)";"Total_Marks (100)";"Comments"
24NA10011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10012;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10014;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10015;0;0;0;0;0;0;0;0;10;10;0;0;0;0;-5;15;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 15/100 ##########
24NA10016;0;0;0;0;0;0;0;0;10;10;0;0;0;0;-5;15;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 15/100 ##########
24NA10017;0;0;0;0;0;0;0;0;10;5;10;0;0;0;-5;20;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 20/100 ##########
24NA10018;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10019;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10020;0;0;0;0;0;0;0;0;10;5;0;0;10;0;-5;20;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 20/100 ##########
24NA10021;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;15;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 15/100 ##########
24NA10022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10023;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10025;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Main method defined~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 5/100 ##########
24NA10026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10030;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10031;0;0;0;0;0;0;0;0;10;5;10;10;0;0;-5;30;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 30/100 ##########
24NA10032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10034;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10037;0;0;0;0;0;0;0;0;10;10;0;10;0;0;-5;25;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 25/100 ##########
24NA10038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10039;0;0;0;0;0;0;0;0;10;10;0;10;0;0;0;30;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 30/100 ##########
24NA10040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10041;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;15;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 15/100 ##########
24NA10042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10044;0;0;0;0;0;0;0;0;10;5;0;0;0;0;-5;10;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10046;0;0;0;0;0;0;0;0;10;10;0;0;0;0;-5;15;========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 15/100 ##########
24NA10047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10049;0;0;0;0;0;0;0;0;10;10;10;10;10;10;-5;55;========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 55/100 ##########
24NA10050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10052;0;0;0;0;0;0;0;0;10;10;0;10;0;0;0;30;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 30/100 ##########
24NA10053;0;0;0;0;0;0;0;0;10;5;10;10;10;10;0;55;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 55/100 ##########
24NA10054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
