"Student_Name";"Test_Case_1 (50)";"Code_1 (15)";"Code_2 (15)";"Code_3 (20)";"Total_Marks (100)";"Comments"
23CE10005;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23EC10006;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CE10025;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23IE10011;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23ME10044;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CS10051;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23ME10063;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MT30029;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23AG10047;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23HS10030;50;15;15;20;100;Keep up the good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23MT10015;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CH10026;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23HS10050;0;10;0;15;25;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~~~~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 0 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 15 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 25/100 ##########
23EC10066;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MI33022;50;15;15;20;100;Nice work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23BT10015;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CS10031;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23EX10024;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CE10065;30;12;10;15;67;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~~~~~~~IDENTICAL ROLL ~~~~~~Roll : 1041  Age: 22  Marks: 19~~Roll : 1449  Age: 1449  Marks: 1449~~Roll : 1041  Age: 22  Marks: 19~~Roll : 1709  Age: 1709  Marks: 1709~~Roll : 1041  Age: 22  Marks: 19~~Roll : 1440  Age: 1440  Marks: 1440~~Roll : 1041  Age: 22  Marks: 19~~Roll : 1823  Age: 1823  Marks: 1823~~Roll : 1449  Age: 22  Marks: 76~~Roll : 1709  Age: 1709  Marks: 1709~~Roll : 1449  Age: 22  Marks: 76~~Roll : 1440  Age: 1440  Marks: 1440~~Roll : 1449  Age: 22  Marks: 76~~Roll : 1823  Age: 18...~~~~  Mark/s obtained: 30 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 15 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 67/100 ##########
23ME10082;30;15;15;12;72;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~Table:~~Roll:1756 Age:23 Mark:38~~Roll:1712 Age:25 Mark:70~~Roll:1431 Age:18 Mark:80~~Roll:1644 Age:17 Mark:30~~Roll:1783 Age:23 Mark:46~~Roll:1807 Age:20 Mark:29~~Roll:1461 Age:25 Mark:99~~Roll:1316 Age:15 Mark:84~~Roll:1713 Age:16 Mark:60~~Roll:1553 Age:22 Mark:58~~Roll:1490 Age:18 Mark:79~~Roll:1266 Age:24 Mark:51~~Roll:1553 Age:18 Mark:91~~Roll:1593 Age:22 Mark:64~~Roll:1170 Age:16 Mark:58~~Roll:1152 Age:23 Mark:43~~Roll:1386 Age:24 Mark:82~~Roll:1994 Age:17 Mark:80~~Roll:1397 Age:20 Mark:28...~~~~  Mark/s obtained: 30 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 12 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 72/100 ##########
23NA30028;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23GG10041;25;0;15;8;48;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~roll:1041 age:24 marks:72~~roll:1474 age:22 marks:69~~roll:1467 age:25 marks:96~~roll:1440 age:22 marks:67~~roll:1258 age:23 marks:63~~roll:1491 age:18 marks:24~~roll:1823 age:17 marks:71~~roll:1590 age:23 marks:52~~roll:1292 age:22 marks:49~~roll:1698 age:21 marks:99~~roll:1442 age:16 marks:25~~roll:1527 age:25 marks:15~~roll:1642 age:24 marks:67~~roll:1885 age:19 marks:76~~roll:1291 age:21 marks:99~~roll:1660 age:20 marks:35~~roll:1225 age:19 marks:95~~roll:1617 age:18 marks:33~~roll:1017 age:...~~~~  Mark/s obtained: 25 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 0 out of 15~~~~~~PASSED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 8 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 48/100 ##########
23EX10004;30;15;15;0;60;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~the roll no are:~~1041~~1467~~1334~~1500~~1169~~1724~~1478~~1358~~1962~~1464~~1705~~1145~~1281~~1827~~1961~~1491~~1995~~1942~~1827~~1436~~the age is:~~16~~19~~17~~18~~17~~17~~16~~21~~23~~20~~22~~21~~16~~23~~24~~17~~22~~24~~20~~19~~the marks are:~~3~~11~~22~~33~~73~~64~~41~~11~~53~~68~~47~~44~~62~~57~~37~~59~~23~~41~~29~~78~~for student 1 Roll:1041  Age:16  marks:3~~for student 2 Roll:1467  Age:19  marks:11~~for student 3 Roll:1334  Age:17  marks:22~~for student 4 Roll:1500  Age:18  marks:33~~for...~~~~  Mark/s obtained: 30 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 60/100 ##########
23CE10045;35;0;15;20;70;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~Roll: 1041  Age: 24  Marks: 72~~Roll: 1474  Age: 22  Marks: 69~~Roll: 1467  Age: 25  Marks: 96~~Roll: 1440  Age: 22  Marks: 67~~Roll: 1258  Age: 23  Marks: 63~~Roll: 1491  Age: 18  Marks: 24~~Roll: 1823  Age: 17  Marks: 71~~Roll: 1590  Age: 23  Marks: 52~~Roll: 1292  Age: 22  Marks: 49~~Roll: 1698  Age: 21  Marks: 99~~Roll: 1442  Age: 16  Marks: 25~~Roll: 1527  Age: 25  Marks: 15~~Roll: 1642  Age: 24  Marks: 67~~Roll: 1885  Age: 19  Marks: 76~~Roll: 1291  Age: 21  Marks: 99~~Roll: 1660  Age: 20 ...~~~~  Mark/s obtained: 35 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 0 out of 15~~~~~~PASSED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 70/100 ##########
23GG10001;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23ME30058;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MT10053;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23IM30025;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MI10052;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CH10006;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MF3IM17;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23ME30001;30;15;8;10;63;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~ rollno[0]=1041~~ rollno[1]=1449~~ rollno[2]=1328~~ rollno[3]=1474~~ rollno[4]=1150~~ rollno[5]=1709~~ rollno[6]=1467~~ rollno[7]=1329~~ rollno[8]=1936~~ rollno[9]=1440~~ rollno[10]=1700~~ rollno[11]=1117~~ rollno[12]=1258~~ rollno[13]=1811~~ rollno[14]=1952~~ rollno[15]=1491~~ rollno[16]=1993~~ rollno[17]=1931~~ rollno[18]=1823~~ rollno[19]=1431~~ age[0]=22~~ age[1]=22~~ age[2]=23~~ age[3]=25~~ age[4]=21~~ age[5]=22~~ age[6]=23~~ age[7]=20~~ age[8]=21~~ age[9]=22~~ age[10]=17~~ age[11]=16~~ age...~~~~  Mark/s obtained: 30 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 8 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 10 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 63/100 ##########
23CS10011;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CY10029;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23ME30039;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23AG30039;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23AE10036;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23EE30017;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MA10056;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23CH10046;10;7;7;9;33;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~Roll 1: Age 1: Marks 1: ~~~~Roll 2: Age 2: Marks 2: ~~~~Roll 3: Age 3: Marks 3: ~~~~Roll 4: Age 4: Marks 4: ~~~~Roll 5: Age 5: Marks 5: ~~~~Roll 6: Age 6: Marks 6: ~~~~Roll 7: Age 7: Marks 7: ~~~~Roll 8: Age 8: Marks 8: ~~~~Roll 9: Age 9: Marks 9: ~~~~Roll 10: Age 10: Marks 10: ~~~~Roll 11: Age 11: Marks 11: ~~~~Roll 12: Age 12: Marks 12: ~~~~Roll 13: Age 13: Marks 13: ~~~~Roll 14: Age 14: Marks 14: ~~~~Roll 15: Age 15: Marks 15: ~~~~Roll 16: Age 16: Marks 16: ~~~~Roll 17: Age 17: Marks 17: ~~~~...~~~~  Mark/s obtained: 10 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 7 out of 15~~~~~~FAILED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 7 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 9 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 33/100 ##########
23MI31012;35;12;10;20;77;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~the roll,age and marks of all students having same age.~~For age: 23 ~~>>>> Roll:1042 age:23 Marks:35~~>>>> Roll:1282 age:23 Marks:62~~~~For age: 25 ~~>>>> Roll:1501 age:25 Marks:25~~>>>> Roll:1539 age:25 Marks:13~~>>>> Roll:1668 age:25 Marks:36~~>>>> Roll:1038 age:25 Marks:24~~>>>> Roll:1742 age:25 Marks:79~~~~For age: 24 ~~>>>> Roll:1479 age:24 Marks:63~~>>>> Roll:1717 age:24 Marks:96~~>>>> Roll:1254 age:24 Marks:48~~~~For age: 21 ~~>>>> Roll:1465 age:21 Marks:46~~>>>> Roll:1492 age:21 Marks:4...~~~~  Mark/s obtained: 35 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 12 out of 15~~~~~~FAILED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 77/100 ##########
23BT30019;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23AG10007;20;0;15;0;35;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~the details of students are:~~Roll:1041 Age:24 Marks:72~~Roll:1474 Age:22 Marks:69~~Roll:1467 Age:25 Marks:96~~Roll:1440 Age:22 Marks:67~~Roll:1258 Age:23 Marks:63~~Roll:1491 Age:18 Marks:24~~Roll:1823 Age:17 Marks:71~~Roll:1590 Age:23 Marks:52~~Roll:1292 Age:22 Marks:49~~Roll:1698 Age:21 Marks:99~~Roll:1442 Age:16 Marks:25~~Roll:1527 Age:25 Marks:15~~Roll:1642 Age:24 Marks:67~~Roll:1885 Age:19 Marks:76~~Roll:1291 Age:21 Marks:99~~Roll:1660 Age:20 Marks:35~~Roll:1225 Age:19 Marks:95~~Roll:1617 A...~~~~  Mark/s obtained: 20 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 0 out of 15~~~~~~PASSED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 35/100 ##########
23MF10004;20;8;8;0;36;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~for age: 22~~Roll: 1041  Age: 22  Mark: 19~~Roll: 1041  Age: 22  Mark: 19~~Roll: 1041  Age: 22  Mark: 19~~Roll: 1041  Age: 22  Mark: 19~~for age: 22~~Roll: 1449  Age: 22  Mark: 76~~Roll: 1449  Age: 22  Mark: 76~~Roll: 1449  Age: 22  Mark: 76~~for age: 23~~Roll: 1328  Age: 23  Mark: 12~~for age: 25~~Roll: 1474  Age: 25  Mark: 33~~Roll: 1474  Age: 25  Mark: 33~~for age: 21~~Roll: 1150  Age: 21  Mark: 99~~for age: 22~~Roll: 1709  Age: 22  Mark: 18~~Roll: 1709  Age: 22  Mark: 18~~for age: 23~~for ag...~~~~  Mark/s obtained: 20 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 8 out of 15~~~~~~FAILED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 8 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 36/100 ##########
23MT30010;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MI10014;50;15;15;20;100;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23ME10025;40;15;15;16;86;Roll no. is not in range~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~Students with same age:~~~~Roll:1150 Age:19 Mark:38~~Roll:1449 Age:19 Mark:41~~     ..................    ~~Roll:1993 Age:17 Mark:87~~Roll:1868 Age:17 Mark:24~~Roll:1329 Age:17 Mark:65~~     ..................    ~~Roll:1699 Age:20 Mark:31~~Roll:1273 Age:20 Mark:13~~Roll:1700 Age:20 Mark:22~~     ..................    ~~Roll:1431 Age:16 Mark:80~~Roll:1370 Age:16 Mark:90~~Roll:1705 Age:16 Mark:94~~Roll:1675 Age:16 Mark:97~~Roll:1126 Age:16 Mark:18~~Roll:1811 Age:16 Mark:51~~     ....................~~~~  Mark/s obtained: 40 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 16 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 86/100 ##########
23CE30018;25;0;10;20;55;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~Roll:1041  Age:24  Marks:72~~Roll:1474  Age:22  Marks:69~~Roll:1467  Age:25  Marks:96~~Roll:1440  Age:22  Marks:67~~Roll:1258  Age:23  Marks:63~~Roll:1491  Age:18  Marks:24~~Roll:1823  Age:17  Marks:71~~Roll:1590  Age:23  Marks:52~~Roll:1292  Age:22  Marks:49~~Roll:1698  Age:21  Marks:99~~Roll:1442  Age:16  Marks:25~~Roll:1527  Age:25  Marks:15~~Roll:1642  Age:24  Marks:67~~Roll:1885  Age:19  Marks:76~~Roll:1291  Age:21  Marks:99~~Roll:1660  Age:20  Marks:35~~Roll:1225  Age:19  Marks:95~~Roll:16...~~~~  Mark/s obtained: 25 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 0 out of 15~~~~~~FAILED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 55/100 ##########
23AG30019;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MF10023;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23IM10028;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23PH10032;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MT10034;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23EC30016;0;4;4;2;10;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:~~Desired Output:~~<Gives output as required>~~~~Your output:~~display the random rollRoll:1041, Age:24, Marks:72Roll:1474, Age:22, Marks:69Roll:1467, Age:25, Marks:96Roll:1440, Age:22, Marks:67Roll:1258, Age:23, Marks:63Roll:1491, Age:18, Marks:24Roll:1823, Age:17, Marks:71Roll:1590, Age:23, Marks:52Roll:1292, Age:22, Marks:49Roll:1698, Age:21, Marks:99Roll:1442, Age:16, Marks:25Roll:1527, Age:25, Marks:15Roll:1642, Age:24, Marks:67Roll:1885, Age:19, Marks:76Roll:1291, Age:21, Marks:99Roll:1660, Age:20, Marks:35Roll:1225, Age:19, Marks:95Roll:1617, Age:18,...~~~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Displayed Stds having same age.~~  Mark/s obtained: 4 out of 15~~~~~~FAILED: Code Case 2:~~Displayed Stds having same marks.~~  Mark/s obtained: 4 out of 15~~~~~~FAILED: Code Case 3:~~Displayed Sorted by roll.~~  Mark/s obtained: 2 out of 20~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
