"Student_Name";"Test_Case_1 (4)";"Test_Case_2 (4)";"Test_Case_3 (4)";"Code_1 (18)";"Code_2 (-1)";"Total_Marks (30)";"Comments"
22CS10029;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10069;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 30 out of 30~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/30 ###########
22CS30048;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS30007;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10031;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS30050;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10050;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS30029;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS30049;0;0;0;18;0;18;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 18/30 ##########
22CS10030;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10010;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS10014;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 30 out of 30~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/30 ###########
22CS10028;0;0;0;10;-1;9;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 12~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 10 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 9/30 ###########
22CS10048;0;0;0;18;-1;17;Segmentation Fault~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~~~Your output:~~~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~22250022-781~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 17/30 ##########
22CS30027;0;0;0;18;-1;17;Garbage values~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~Enter Number of Elements in heap  ;- Enter needed max number of elemenets :- 74 11695136 0 8 0 0 74 3 9 6421904 0 8 0 0 23 8 0 8 0 6 0 11674544 0 16 0 8 0 11674512 0 4199367 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24214686 31072340 0 0 0 0 0 0 0 0 0 0 0 0 4199675 0 0 0 0 0 0 0 0 0 0 0 1139090813 32766 0 0 0 0 0 0 0 0 0 0 1142860376 32766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1232 1264 -1232 1232 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82051085 4128769 4128831 63 0 0...~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~~~Your output:~~Enter Number of Elements in heap  ;- Enter needed max number of elemenets :- 88 11564064 0 8 0 0 88 3 13 6421888 0 12 0 0 27 8 0 8 0 6 0 11543472 0 16 0 8 0 11543440 0 4199367 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 816343858 31072340 0 0 0 0 0 0 0 0 0 0 0 0 4199675 0 0 0 0 0 0 0 0 0 0 0 1139090813 32766 0 0 0 0 0 0 0 0 0 0 1142860376 32766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1232 1264 -1232 1232 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82051085 4128769 4128831 63 ...~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~Enter Number of Elements in heap  ;- Enter needed max number of elemenets :- 88 7697440 0 8 0 0 88 5 13 6421888 0 12 0 0 27 8 0 8 0 6 0 7676848 0 16 0 8 0 7676816 0 4199367 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 827952945 31072340 0 0 0 0 0 0 0 0 0 0 0 0 4199675 0 0 0 0 0 0 0 0 0 0 0 1139090813 32766 0 0 0 0 0 0 0 0 0 0 1142860376 32766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1232 1264 -1232 1232 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82051085 4128769 4128831 63 0 0...~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 17/30 ##########
22CS30047;0;0;0;18;-1;17;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 12~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 17/30 ##########
22CS10083;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10011;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS30066;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10071;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 30 out of 30~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/30 ###########
22CS10051;0;0;0;5;0;5;Only scanf and printf~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 12~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 5 out of 18~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 5/30 ###########
22CS30030;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS10007;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS10027;2;4;4;18;-1;27;First case wrong output~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~No. of elements n= The original array: Enter the value of k: 3 largest elements: 93 11805504 99 ~~~~~~  Mark/s obtained: 2 out of 4~~~~~~PASSED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~  Mark/s obtained: 4 out of 4~~~~~~PASSED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~  Mark/s obtained: 4 out of 4~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 27/30 ##########
22CS10047;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 30 out of 30~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/30 ###########
22CS30026;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS30046;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10067;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS30051;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10072;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS30011;0;0;0;18;0;18;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~12985120 12985152 31072356 ~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~~~Your output:~~7676704 7676736 31072356 ~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~7676704 7676736 31072356 ~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 18/30 ##########
22CS10085;4;4;0;18;0;26;Third case failing~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~  Mark/s obtained: 4 out of 4~~~~~~PASSED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~  Mark/s obtained: 4 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~Enter no. of numbers in original array: The original array: Enter the value of k: 5 largest elements: 89 500 222 -7 81 ~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 26/30 ##########
22CS10032;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10012;0;0;0;18;0;18;No Output~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~Enter the total numbers you wantEnter the numbers into the arrayEnter the value of k : ~~The orignal array:51 43 93 18 42 99 54 2 74 ~~3 largest elements :~~~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~~~Your output:~~Enter the total numbers you wantEnter the numbers into the arrayEnter the value of k : ~~The orignal array:89 500 22 -7 81 -19 34 21 222 54 68 -100 88 ~~3 largest elements :~~~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~Enter the total numbers you wantEnter the numbers into the arrayEnter the value of k : ~~The orignal array:89 500 22 -7 81 -19 34 21 222 54 68 -100 88 ~~3 largest elements :~~~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 18/30 ##########
22CS10052;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS30031;0;0;0;18;0;18;Segmentation Fault~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~~~Your output:~~~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 18/30 ##########
22CS30034;0;0;0;18;0;18;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 18/30 ##########
22CS30054;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10075;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS30014;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10015;0;0;0;18;-1;17;SEGMENTATION_FAULT~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:9 51 43 93 18 42 99 54 2 74 3~~Desired Output:~~3 largest elements: 74 99 93~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 2: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 3~~Desired Output:~~3 largest elements: 89 500 222~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~FAILED: Test Case 3: ~~INPUT:13 89 500 22 -7 81 -19 34 21 222 54 68 -100 88 5~~Desired Output:~~5 largest elements: 81 88 89 500 222~~~~Your output:~~[ERROR: SEGMENTATION_FAULT or RUNTIMEOUT]~~~~  Mark/s obtained: 0 out of 4~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 17/30 ##########
22CS10035;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10053;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS30032;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS30052;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10013;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
22CS10033;0;0;0;5;0;5;Incomplete code~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 12~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 5 out of 18~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 5/30 ###########
22CS30012;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
